,dataset,measurement,sigma_B_um,sigma_B_err_um
14,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2b#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=8.8 ap7=3.0,517.2845382,47.59330926
15,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,517.2845382,47.59330926
16,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,517.2845382,47.59330926
17,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0215um (3c#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,510.6886142,43.66578846
18,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0445um (5c#1) ap5=7.0 ap7=3.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg5ab) ap5=8.8 ap7=3.0,510.6886142,43.66578846
19,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0707um (1d#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg1cd) ap5=7.0 ap7=50.0,510.6886142,43.66578846
20,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=7.0 ap7=3.0,510.6886142,43.66578846
21,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,510.6886142,43.66578846
22,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,510.6886142,43.66578846
23,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),463.34301,21.460491
