,dataset,measurement,pixis_profile_avg_width_measurement_default,crop_px_measurement_default,sigma_x_F_gamma_um_min_measurement_default,sigma_x_F_gamma_um_max_measurement_default,sigma_x_F_gamma_um_stepsize_measurement_default,sigma_y_F_gamma_um_min_measurement_default,sigma_y_F_gamma_um_max_measurement_default,sigma_y_F_gamma_um_stepsize_measurement_default
12,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0322um (4a#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
13,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0707um (1b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg1cd) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
14,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2b#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=8.8 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
15,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
16,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
17,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0215um (3c#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
18,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0445um (5c#1) ap5=7.0 ap7=3.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg5ab) ap5=8.8 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
19,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0707um (1d#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg1cd) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
20,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
21,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
22,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
23,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
24,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
25,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
26,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0890um (2b#2) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),,,,,,,,
27,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4a),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
28,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
29,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
30,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
31,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
32,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
33,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4cd),200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
34,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0107um (2a) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
35,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 (bg3ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
36,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0322um (4a) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
37,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0445um (5a) ap5=7.0 ap7=1.5 (bg5ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
38,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0707um (1b) ap5=7.0 ap7=1.5 (bg1ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
39,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0890um (2b) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
40,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1047um (3b) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
41,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0107um (2c) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
42,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0215um (3c) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,,,,,,,,
43,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0322um (4c) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,,,,,,,,
44,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0445um (5c) ap5=7.0 ap7=1.5 (bg5ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
45,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0707um (1d#2) ap5=7.0 ap7=1.5 (bg1ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
46,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0890um (2d) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
47,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1047um (3d) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
48,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1335um (4d) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,200.0,50.0,7.0,40.0,1.0,7.0,40.0,1.0
