,dataset,measurement,x2_um_measurement_default,z_mm_measurement_default,x1_um_range_1_measurement_default,wavelength_nm_measurement_default,w1_um_range_1_measurement_default,x1_um_range_0_measurement_default,wavelength_nm_do_fit_measurement_default,d_um_measurement_default,normfactor_range_1_measurement_default,normfactor_range_0_measurement_default,w1_um_do_fit_measurement_default,normfactor_do_fit_measurement_default,shiftx_um_range_0_measurement_default,z_mm_range_1_measurement_default,x1_um_do_fit_measurement_default,w1_um_measurement_default,w2_um_measurement_default,mod_shiftx_um_range_0_measurement_default,wavelength_nm_range_0_measurement_default,d_um_do_fit_measurement_default,I_Airy1_range_1_measurement_default,I_Airy2_range_0_measurement_default,x2_um_do_fit_measurement_default,I_Airy2_measurement_default,shiftx_um_range_1_measurement_default,mod_sigma_um_range_1_measurement_default,mod_shiftx_um_measurement_default,shiftx_um_do_fit_measurement_default,x2_um_range_0_measurement_default,gamma_range_0_measurement_default,I_Airy1_measurement_default,I_Airy1_do_fit_measurement_default,I_Airy2_do_fit_measurement_default,x2_um_range_1_measurement_default,d_um_range_0_measurement_default,d_um_range_1_measurement_default,I_Airy2_range_1_measurement_default,pixis_profile_avg_width_measurement_default,gamma_measurement_default,gamma_do_fit_measurement_default,z_mm_do_fit_measurement_default,I_Airy1_range_0_measurement_default,z_mm_range_0_measurement_default,normfactor_measurement_default,gamma_range_1_measurement_default,mod_sigma_um_range_0_measurement_default,mod_sigma_um_do_fit_measurement_default,mod_shiftx_um_range_1_measurement_default,wavelength_nm_range_1_measurement_default,w2_um_range_1_measurement_default,w2_um_do_fit_measurement_default,mod_shiftx_um_do_fit_measurement_default,mod_sigma_um_measurement_default,w2_um_range_0_measurement_default,x1_um_measurement_default,crop_px_measurement_default,shiftx_um_measurement_default,w1_um_range_0_measurement_default
10,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0107um (2a#1) ap5=7.0 ap7=50.0.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
11,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0215um (3a#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
12,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0322um (4a#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
13,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0707um (1b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg1cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
14,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2b#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=8.8 ap7=3.0,4450,5781,0,13.5,15,-5450,True,890,1.5,0.1,,,-1500,5790,,11,11,-10000,13.4,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,5450,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,13.6,15,,True,3000,8,-4450,50,1000,8
15,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
16,13.5nm vertical S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4b#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
17,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0215um (3c#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,13.5,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,13.4,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,13.6,15,,True,3000,8,-1075,50,0,8
18,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0445um (5c#1) ap5=7.0 ap7=3.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg5ab) ap5=8.8 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
19,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0707um (1d#0) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm (bg1cd) ap5=7.0 ap7=50.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
20,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 0890um (2d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg2ab#1) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
21,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1047um (3d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
22,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
23,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
24,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
25,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
26,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0890um (2b#2) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
27,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4a),5235,5781,0,13.5,15,-6235,True,1047,1.5,0.1,,,-1500,5790,,11,11,-10000,13.4,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,6235,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,13.6,15,,True,3000,8,-5235,50,0,8
28,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
29,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
30,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
31,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
32,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),5235,5781,0,13.5,15,-6235,True,1047,1.5,0.1,,,-1500,5790,,11,11,-10000,13.4,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,6235,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,13.6,15,,True,3000,8,-5235,50,0,8
33,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4cd),1075,5781,0,8.0,15,-2075,True,215,1.5,0.1,,,-1500,5790,,11,11,-10000,7.9,,1.5,0.2,,0.8,1500,100000,3000,True,0,0.01,1,,,2075,50,1337,5.5,200,0.8,,,0.2,5770,1,1,1500,True,10000,8.1,15,,True,3000,8,-1075,50,897,8
