,dataset,measurement,balance_measurement_default,xi_um_guess_measurement_default,pixis_profile_avg_width_measurement_default,crop_px_measurement_default,snr_db_measurement_default,sigma_x_F_gamma_um_multiplier_measurement_default,xatol_measurement_default
22,13.5nm horizontal S,2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=1.5mm 1335um (4d#1) ap5=7.0 ap7=50.0 2017-11-29T1007 13.5nm 111uJ 12Und. KOAS=PMMA (bg3ab) ap5=7.0 ap7=3.0,,800,200,50,26.8,1.2,5
23,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
24,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4a) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
25,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),,800,200,50,26.8,1.2,5
26,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0890um (2b#2) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1ab),,800,200,50,26.8,1.2,5
27,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4a),,800,200,50,26.8,1.2,5
28,13.5nm#1 vertical S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4b) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
29,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0215um (3c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
30,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0322um (4c) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
31,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),,800,200,50,26.8,1.2,5
32,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1047um (3d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4ab),,800,200,50,26.8,1.2,5
33,13.5nm#1 horizontal S,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 1335um (4d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg4cd),,800,200,50,26.8,1.2,5
34,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0107um (2a) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,,800,200,50,26.8,1.2,5
35,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0215um (3a) ap5=7.0 ap7=50.0 (bg3ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
36,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0322um (4a) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
37,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0445um (5a) ap5=7.0 ap7=1.5 (bg5ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
38,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0707um (1b) ap5=7.0 ap7=1.5 (bg1ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
39,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0890um (2b) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,,800,200,50,26.8,1.2,5
40,18nm vertical S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1047um (3b) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
41,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0107um (2c) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,,800,200,50,26.8,1.2,5
42,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0215um (3c) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
43,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0322um (4c) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
44,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0445um (5c) ap5=7.0 ap7=1.5 (bg5ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
45,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0707um (1d#2) ap5=7.0 ap7=1.5 (bg1ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
46,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 0890um (2d) ap5=7.0 ap7=50.0 (bg2ab) ap5=7.0 ap7=50.0,,800,200,50,26.8,1.2,5
47,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1047um (3d) ap5=7.0 ap7=1.5 (bg3ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
48,18nm horizontal S,2017-11-26T2300 18.0nm 70uJ 7Und. KOAS=1.5mm 1335um (4d) ap5=7.0 ap7=1.5 (bg4ab) ap5=7.0 ap7=1.5,,800,200,50,26.8,1.2,5
